========================================
FPGA-FRIENDLY NETWORK (256-128-64)
Enhanced with lagged features & time index
========================================

Input features: 21 (lag=20 + time index)
Samples after lagging: 116381
Data split: Train=81466, Val=17457, Test=17458

Training Configuration:
  Optimizer: SGDM (momentum 0.9)
  Max epochs: 800
  L2 regularization: 0.0001

=== Starting Training ===
Training on single CPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      39 |        3030 |       00:00:53 |         0.07 |         0.08 |       0.0028 |       0.0031 |          0.0100 |
|      39 |        3060 |       00:00:53 |         0.08 |         0.08 |       0.0033 |       0.0031 |          0.0100 |
|      40 |        3090 |       00:00:54 |         0.08 |         0.08 |       0.0030 |       0.0031 |          0.0100 |
|      40 |        3120 |       00:00:54 |         0.08 |         0.08 |       0.0033 |       0.0031 |          0.0100 |
|      40 |        3150 |       00:00:55 |         0.08 |         0.08 |       0.0029 |       0.0031 |          0.0100 |
|      41 |        3180 |       00:00:55 |         0.08 |         0.08 |       0.0032 |       0.0030 |          0.0100 |
|      41 |        3210 |       00:00:56 |         0.07 |         0.08 |       0.0028 |       0.0031 |          0.0100 |
|      42 |        3240 |       00:00:56 |         0.08 |         0.08 |       0.0028 |       0.0030 |          0.0100 |
|      42 |        3270 |       00:00:57 |         0.08 |         0.08 |       0.0033 |       0.0030 |          0.0100 |
|      42 |        3300 |       00:00:57 |         0.08 |         0.08 |       0.0030 |       0.0030 |          0.0100 |
|      43 |        3330 |       00:00:58 |         0.08 |         0.08 |       0.0030 |       0.0030 |          0.0100 |
|      43 |        3360 |       00:00:58 |         0.07 |         0.08 |       0.0028 |       0.0030 |          0.0100 |
|      43 |        3390 |       00:00:59 |         0.07 |         0.08 |       0.0026 |       0.0030 |          0.0100 |
|      44 |        3420 |       00:00:59 |         0.08 |         0.08 |       0.0031 |       0.0030 |          0.0100 |
|      44 |        3450 |       00:01:00 |         0.07 |         0.08 |       0.0027 |       0.0031 |          0.0100 |
|      45 |        3480 |       00:01:01 |         0.07 |         0.08 |       0.0027 |       0.0030 |          0.0100 |
|      45 |        3510 |       00:01:01 |         0.07 |         0.08 |       0.0028 |       0.0030 |          0.0100 |
|      45 |        3540 |       00:01:02 |         0.08 |         0.08 |       0.0030 |       0.0030 |          0.0100 |
|      46 |        3570 |       00:01:02 |         0.08 |         0.08 |       0.0029 |       0.0029 |          0.0100 |
|      46 |        3600 |       00:01:02 |         0.08 |         0.08 |       0.0030 |       0.0029 |          0.0100 |
|      46 |        3630 |       00:01:03 |         0.08 |         0.08 |       0.0029 |       0.0030 |          0.0100 |
|      47 |        3660 |       00:01:03 |         0.07 |         0.08 |       0.0026 |       0.0030 |          0.0100 |
|      47 |        3690 |       00:01:04 |         0.08 |         0.08 |       0.0031 |       0.0030 |          0.0100 |
|      48 |        3720 |       00:01:04 |         0.08 |         0.08 |       0.0031 |       0.0029 |          0.0100 |
|      48 |        3750 |       00:01:05 |         0.07 |         0.08 |       0.0027 |       0.0029 |          0.0100 |
|      48 |        3780 |       00:01:05 |         0.08 |         0.08 |       0.0030 |       0.0029 |          0.0100 |
|      49 |        3810 |       00:01:05 |         0.07 |         0.08 |       0.0024 |       0.0029 |          0.0100 |
|      49 |        3840 |       00:01:06 |         0.07 |         0.08 |       0.0026 |       0.0030 |          0.0100 |
|      49 |        3870 |       00:01:06 |         0.07 |         0.08 |       0.0027 |       0.0029 |          0.0100 |
|      50 |        3900 |       00:01:07 |         0.08 |         0.08 |       0.0033 |       0.0029 |          0.0100 |
|      50 |        3930 |       00:01:07 |         0.08 |         0.08 |       0.0029 |       0.0029 |          0.0100 |
|      51 |        3960 |       00:01:07 |         0.07 |         0.08 |       0.0026 |       0.0029 |          0.0100 |
|      51 |        3990 |       00:01:08 |         0.08 |         0.08 |       0.0030 |       0.0029 |          0.0100 |
|      51 |        4020 |       00:01:08 |         0.07 |         0.08 |       0.0027 |       0.0029 |          0.0100 |
|      52 |        4050 |       00:01:09 |         0.08 |         0.08 |       0.0030 |       0.0029 |          0.0100 |
|      52 |        4080 |       00:01:09 |         0.07 |         0.08 |       0.0026 |       0.0028 |          0.0100 |
|      53 |        4110 |       00:01:10 |         0.07 |         0.08 |       0.0024 |       0.0028 |          0.0100 |
|      53 |        4140 |       00:01:10 |         0.07 |         0.07 |       0.0027 |       0.0028 |          0.0100 |
|      53 |        4170 |       00:01:10 |         0.08 |         0.08 |       0.0028 |       0.0028 |          0.0100 |
|      54 |        4200 |       00:01:11 |         0.08 |         0.07 |       0.0031 |       0.0028 |          0.0100 |
|      54 |        4230 |       00:01:11 |         0.07 |         0.07 |       0.0027 |       0.0028 |          0.0100 |
|      54 |        4260 |       00:01:12 |         0.07 |         0.07 |       0.0023 |       0.0028 |          0.0100 |
|      55 |        4290 |       00:01:12 |         0.07 |         0.07 |       0.0026 |       0.0028 |          0.0100 |
|      55 |        4320 |       00:01:13 |         0.07 |         0.08 |       0.0027 |       0.0028 |          0.0100 |
|      56 |        4350 |       00:01:13 |         0.07 |         0.07 |       0.0025 |       0.0028 |          0.0100 |
|      56 |        4380 |       00:01:14 |         0.08 |         0.07 |       0.0029 |       0.0028 |          0.0100 |
|      56 |        4410 |       00:01:14 |         0.07 |         0.07 |       0.0026 |       0.0028 |          0.0100 |
|      57 |        4440 |       00:01:14 |         0.07 |         0.07 |       0.0027 |       0.0028 |          0.0100 |
|      57 |        4470 |       00:01:15 |         0.08 |         0.08 |       0.0029 |       0.0028 |          0.0100 |
|      57 |        4500 |       00:01:15 |         0.07 |         0.07 |       0.0028 |       0.0027 |          0.0100 |
|      58 |        4530 |       00:01:16 |         0.07 |         0.07 |       0.0026 |       0.0027 |          0.0100 |
|      58 |        4560 |       00:01:16 |         0.08 |         0.07 |       0.0030 |       0.0028 |          0.0100 |
|      59 |        4590 |       00:01:17 |         0.07 |         0.07 |       0.0024 |       0.0027 |          0.0100 |
|      59 |        4620 |       00:01:17 |         0.07 |         0.07 |       0.0026 |       0.0027 |          0.0100 |
|      59 |        4650 |       00:01:17 |         0.07 |         0.07 |       0.0027 |       0.0027 |          0.0100 |
|      60 |        4680 |       00:01:18 |         0.07 |         0.07 |       0.0026 |       0.0027 |          0.0100 |
|      60 |        4710 |       00:01:18 |         0.07 |         0.07 |       0.0026 |       0.0027 |          0.0100 |
|      60 |        4740 |       00:01:19 |         0.08 |         0.08 |       0.0033 |       0.0028 |          0.0100 |
|      61 |        4770 |       00:01:19 |         0.07 |         0.07 |       0.0026 |       0.0027 |          0.0100 |
|      61 |        4800 |       00:01:19 |         0.07 |         0.07 |       0.0026 |       0.0027 |          0.0100 |
|      62 |        4830 |       00:01:20 |         0.07 |         0.07 |       0.0024 |       0.0027 |          0.0100 |
|      62 |        4860 |       00:01:20 |         0.07 |         0.07 |       0.0027 |       0.0027 |          0.0100 |
|      62 |        4890 |       00:01:21 |         0.07 |         0.07 |       0.0027 |       0.0027 |          0.0100 |
|      63 |        4920 |       00:01:21 |         0.07 |         0.07 |       0.0024 |       0.0027 |          0.0100 |
|      63 |        4950 |       00:01:22 |         0.07 |         0.07 |       0.0025 |       0.0027 |          0.0100 |
|      64 |        4980 |       00:01:22 |         0.07 |         0.07 |       0.0027 |       0.0027 |          0.0100 |
|      64 |        5010 |       00:01:23 |         0.07 |         0.07 |       0.0023 |       0.0027 |          0.0100 |
|      64 |        5040 |       00:01:23 |         0.07 |         0.07 |       0.0027 |       0.0027 |          0.0100 |
|      65 |        5070 |       00:01:24 |         0.07 |         0.07 |       0.0026 |       0.0027 |          0.0100 |
|      65 |        5100 |       00:01:24 |         0.07 |         0.07 |       0.0023 |       0.0026 |          0.0100 |
|      65 |        5130 |       00:01:25 |         0.07 |         0.07 |       0.0026 |       0.0026 |          0.0100 |
|      66 |        5160 |       00:01:25 |         0.07 |         0.07 |       0.0025 |       0.0026 |          0.0100 |
|      66 |        5190 |       00:01:26 |         0.07 |         0.07 |       0.0026 |       0.0027 |          0.0100 |
|      67 |        5220 |       00:01:26 |         0.07 |         0.07 |       0.0025 |       0.0026 |          0.0100 |
|      67 |        5250 |       00:01:27 |         0.07 |         0.07 |       0.0025 |       0.0026 |          0.0100 |
|      67 |        5280 |       00:01:27 |         0.07 |         0.07 |       0.0025 |       0.0027 |          0.0100 |
|      68 |        5310 |       00:01:28 |         0.07 |         0.07 |       0.0022 |       0.0026 |          0.0100 |
